feature,ensemble_importance,lgb_importance,xgb_importance
corridor_grouped_orr east 2,54.43479537963867,0.0,108.86959075927734
is_planned_event,52.64888250827789,52.56096005439758,52.7368049621582
zone_cause_interaction_grouped_unknown_construction,45.10319519042969,84.03439712524414,6.171993255615234
start_hour,42.77021308429539,75.45084277167916,10.089583396911621
past_count_police_station,40.64594700932503,75.44221884012222,5.849675178527832
event_cause_corridor_grouped_accident_non_corridor,37.93557524681091,75.87115049362183,0.0
is_breakdown_event,37.38317680358887,42.20429992675781,32.56205368041992
past_closure_rate_junction,36.9405085593462,63.51600781083107,10.365009307861328
corridor_peak_interaction_grouped_bellary_road_1_off_peak,34.67664957046509,69.35329914093018,0.0
corridor_peak_interaction_grouped_other_rare,34.272013664245605,51.28089904785156,17.26312828063965
zone_cause_interaction_grouped_unknown_accident,33.72479510307312,65.42624950408936,2.0233407020568848
past_count_zone,33.656833748333156,61.79880782030523,5.514859676361084
police_station_grouped_hebbala,33.648791790008545,61.715579986572266,5.582003593444824
event_cause_corridor_grouped_construction_orr east 2,32.55768966674805,0.0,65.1153793334961
corridor_peak_interaction_grouped_bellary_road_1_morning_peak,32.3779501914978,64.7559003829956,0.0
start_month_2024_02,29.3085994720459,58.6171989440918,0.0
report_lag_hours_clipped,28.6954824924469,50.98534154891968,6.405623435974121
junction_grouped_devasandra(k r puram),28.03875732421875,0.0,56.0775146484375
zone_cause_interaction_grouped_central_zone_2_vehicle_breakdown,27.82073974609375,55.6414794921875,0.0
reporting_delay_minutes,26.916706085205078,33.59349822998047,20.239913940429688
has_kannada_text,26.3663113117218,17.498560428619385,35.23406219482422
corridor_grouped_non-corridor,24.970788955688477,0.0,49.94157791137695
corridor_peak_interaction_grouped_mysore_road_off_peak,24.87559986114502,49.75119972229004,0.0
peak_period_morning_peak,23.948928833007812,0.0,47.897857666015625
is_accident_event,22.55083680152893,38.10164976119995,7.00002384185791
day_sin,21.654637336730957,40.6424195766449,2.6668550968170166
start_dayofweek,21.49904990196228,38.875399112701416,4.1227006912231445
cause_peak_interaction_grouped_tree_fall_night,19.9915771484375,0.0,39.983154296875
event_type_unplanned,19.25563907623291,26.792200088500977,11.719078063964844
veh_type_grouped_taxi,19.210941314697266,0.0,38.42188262939453
cause_peak_interaction_grouped_congestion_morning_peak,19.0076904296875,0.0,38.015380859375
veh_type_grouped_lcv,16.66904044151306,5.720260143280029,27.617820739746094
has_location_hint_word,15.662229061126709,27.749249935150146,3.5752081871032715
zone_cause_interaction_grouped_east zone 2_construction,15.638038635253906,0.0,31.276077270507812
past_count_location_grid,15.611749172210693,21.7322998046875,9.491198539733887
cause_heavy_vehicle_interaction_grouped_procession_heavy_0,15.135360717773438,0.0,30.270721435546875
junction_grouped_k_r_circle,15.133304834365845,30.26660966873169,0.0
event_cause_corridor_grouped_congestion_orr north 2,14.849853515625,0.0,29.69970703125
hour_cos,14.8454087972641,22.846980333328247,6.843837261199951
junction_grouped_santhecircle,14.475176811218262,0.0,28.950353622436523
event_cause_grouped_others,14.193492889404297,8.248029708862305,20.13895606994629
corridor_cause_interaction_grouped_orr east 2_construction,14.053497314453125,0.0,28.10699462890625
has_non_ascii_text,13.640999794006348,13.993399620056152,13.288599967956543
veh_type_grouped_auto,13.608599662780762,0.0,27.217199325561523
corridor_grouped_bannerghata road,13.390501022338867,0.0,26.781002044677734
event_cause_grouped_accident,13.165536403656006,20.204020500183105,6.127052307128906
corridor_peak_interaction_grouped_cbd 2_off_peak,12.993888854980469,0.0,25.987777709960938
event_cause_grouped_construction,12.947699546813965,25.89539909362793,0.0
cause_peak_interaction_grouped_vehicle_breakdown_morning_peak,12.771662712097168,9.681039810180664,15.862285614013672
cause_heavy_vehicle_interaction_grouped_others_heavy_0,12.300975680351257,21.614900588989258,2.987050771713257
corridor_peak_interaction_grouped_airport new south road_night,10.908172607421875,0.0,21.81634521484375
event_cause_corridor_grouped_tree_fall_non_corridor,10.745100021362305,21.49020004272461,0.0
cause_peak_interaction_grouped_others_night,10.559249639511108,13.802399635314941,7.316099643707275
has_construction_word,10.380107879638672,0.0,20.760215759277344
zone_cause_interaction_grouped_east zone 1_construction,10.36577320098877,0.0,20.73154640197754
event_cause_grouped_congestion,9.978219032287598,0.0,19.956438064575195
has_vip_word,9.927546501159668,0.0,19.855093002319336
cause_peak_interaction_grouped_construction_evening_peak,9.369055271148682,15.530500411987305,3.2076101303100586
police_station_grouped_k.r. pura,8.902657508850098,0.0,17.805315017700195
zone_cause_interaction_grouped_unknown_pot_holes,8.820828437805176,0.0,17.64165687561035
police_station_grouped_kengeri,8.284750938415527,0.0,16.569501876831055
junction_grouped_k r circle,7.89154577255249,0.0,15.78309154510498
corridor_cause_interaction_grouped_bellary road 1_accident,7.386249542236328,0.0,14.772499084472656
police_station_grouped_halasuru gate,7.308967590332031,0.0,14.617935180664062
event_cause_corridor_grouped_accident_bellary road 1,7.010847568511963,0.0,14.021695137023926
zone_cause_interaction_grouped_east zone 2_others,6.949380874633789,0.0,13.898761749267578
zone_cause_interaction_grouped_north zone 1_construction,6.913784980773926,0.0,13.827569961547852
event_cause_corridor_grouped_others_non-corridor,6.618269920349121,0.0,13.236539840698242
police_station_grouped_banaswadi,6.544201374053955,0.0,13.08840274810791
location_grid_grouped_other_rare,6.506397247314453,0.0,13.012794494628906
is_road_condition_event,6.379271984100342,0.0,12.758543968200684
